Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Protein_Type
YP_009724392,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China,Homo sapiens,,2019-12,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV15034,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-02,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV15082,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV15130,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-02,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV14998,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,South Korea,Homo sapiens,oronasopharynx,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIU80544,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,21,Iraq,Homo sapiens,oronasopharynx,2020-04-02,"envelope protein, partial [Severe acute respiratory syndrome coronavirus 2]","envelope protein, partial"
QIV15058,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-03,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV15154,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV14974,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: North Carolina,Homo sapiens,,2020-04-02,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV15010,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,South Korea,Homo sapiens,oronasopharynx,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV15070,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-04,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV15142,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV15190,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV14986,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,South Korea,Homo sapiens,oronasopharynx,2020-02-27,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV15094,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV15106,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV15118,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-02,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV15166,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV15178,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
QIV15022,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,"lung, oronasopharynx",2020-03-02,envelope protein [Severe acute respiratory syndrome coronavirus 2],envelope protein
