Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title
YP_009724392,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China,Homo sapiens,,2019-12,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15034,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-02,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15082,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15130,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-02,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV14998,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,South Korea,Homo sapiens,oronasopharynx,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU80544,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,21,Iraq,Homo sapiens,oronasopharynx,2020-04-02,"envelope protein, partial [Severe acute respiratory syndrome coronavirus 2]"
QIV15058,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-03,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15154,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV14974,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: North Carolina,Homo sapiens,,2020-04-02,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15010,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,South Korea,Homo sapiens,oronasopharynx,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15070,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-04,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15142,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15190,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV14986,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,South Korea,Homo sapiens,oronasopharynx,2020-02-27,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15094,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15106,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15118,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-02,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15166,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15178,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15022,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,"lung, oronasopharynx",2020-03-02,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIV15046,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-03-03,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU78804,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-08,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU78792,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-10,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU80915,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Anhui, Fuyang",Homo sapiens,feces,2020-03-10,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81551,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81503,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU78815,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain,Homo sapiens,,2020-03-09,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81563,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81455,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81491,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81683,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81395,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81419,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81467,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81515,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81575,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81443,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81719,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81731,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81755,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81671,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU80927,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-30,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU80999,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81743,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU80987,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81059,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81071,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIU81635,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
