Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title
YP_009724389,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,China,Homo sapiens,,2019-12,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
YP_009555238,2019-02-21T00:00:00Z,Betacoronavirus 1,7095,USA,,,,Orf1ab [Human coronavirus OC43]
YP_002308478,2018-08-24T00:00:00Z,Bulbul coronavirus HKU11,6264,Hong Kong,Pycnonotus jocosus,,2007-01,orf1ab polyprotein [Bulbul coronavirus HKU11-934]
YP_009513008,2018-08-24T00:00:00Z,Hedgehog coronavirus 1,7150,Germany,Erinaceus europaeus,feces,2012,orf1ab [Betacoronavirus Erinaceus/VMC/DEU/2012]
YP_009513020,2018-08-24T00:00:00Z,Coronavirus HKU15,6267,China: Hong Kong,Sus scrofa,,2010,replicase polyprotein [Porcine coronavirus HKU15]
YP_009389424,2017-07-14T00:00:00Z,Wencheng Sm shrew coronavirus,6324,China,Suncus murinus,,2015,ORF1ab polyprotein [Wencheng Sm shrew coronavirus]
YP_009336483,2017-01-17T00:00:00Z,Lucheng Rn rat coronavirus,6749,China,Rattus norvegicus,,2013,orf1ab polyprotein [Lucheng Rn rat coronavirus]
YP_009328933,2016-12-14T00:00:00Z,NL63-related bat coronavirus strain BtKYNL63-9b,6758,Kenya,Triaenops afer,feces,2010-06-21,ORF1ab protein [NL63-related bat coronavirus]
YP_009273004,2016-09-12T00:00:00Z,Rousettus bat coronavirus GCCDC1,6973,China,Rousettus leschenaultii,feces,2014-05-28,ORF1ab protein [Rousettus bat coronavirus]
YP_009256195,2016-06-10T00:00:00Z,Ferret coronavirus,6622,Netherlands,Mustela putorius,,2010,ORF1ab [Ferret coronavirus]
YP_009199789,2016-01-05T00:00:00Z,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,6727,China,Rhinolophus ferrumequinum,,2013,ORF1ab polyprotein [BtRf-AlphaCoV/HuB2013]
YP_009200734,2016-01-05T00:00:00Z,BtRf-AlphaCoV/YN2012,6716,China,Rhinolophus ferrumequinum,,2012,ORF1ab polyprotein [BtRf-AlphaCoV/YN2012]
YP_009201729,2016-01-05T00:00:00Z,Nyctalus velutinus alphacoronavirus SC-2013,6598,China,Nyctalus velutinus,,2013,ORF1ab polyprotein [BtNv-AlphaCoV/SC2013]
YP_009194637,2016-01-05T00:00:00Z,Human coronavirus 229E,6763,Saudi Arabia,Camelus,,2015-03,polyprotein ORF1ab [Camel alphacoronavirus]
YP_009199608,2016-01-05T00:00:00Z,Myotis ricketti alphacoronavirus Sax-2011,6662,China,Myotis ricketti,,2011,ORF1ab polyprotein [BtMr-AlphaCoV/SAX2011]
YP_009113022,2015-01-07T00:00:00Z,China Rattus coronavirus HKU24,7141,China,Rattus norvegicus,,2012-05-17,replicase polyprotein [Betacoronavirus HKU24]
YP_009072438,2014-10-03T00:00:00Z,Bat Hp-betacoronavirus Zhejiang2013,7247,China,Hipposideros pratti,,2013-04-29,non-structural polyprotein [Bat Hp-betacoronavirus/Zhejiang2013]
YP_009047202,2014-07-23T00:00:00Z,Middle East respiratory syndrome-related coronavirus,7078,,Homo sapiens,,2012-06-13,1ab polyprotein [Middle East respiratory syndrome-related coronavirus]
YP_009019180,2014-03-12T00:00:00Z,Mink coronavirus 1,6682,USA: Wisconsin,Neovison vison,,1998-01-01,orf1ab polyprotein [Mink coronavirus strain WD1127]
YP_008439200,2013-08-20T00:00:00Z,Bat coronavirus CDPHE15,6825,"USA: Boulder County, CO",Myotis lucifugus,,2006-08-07,replicase polyprotein 1ab [Bat coronavirus CDPHE15/USA/2006]
YP_007188577,2012-12-13T00:00:00Z,Middle East respiratory syndrome-related coronavirus,7078,United Kingdom,Homo sapiens,,2012-09-11,ORF1b protein [Betacoronavirus England 1]
YP_006908641,2012-11-01T00:00:00Z,Bat coronavirus HKU10,6780,China,Chiroptera,,2005-10,orf1ab polyprotein [Rousettus bat coronavirus HKU10]
YP_005454239,2012-07-10T00:00:00Z,Rabbit coronavirus HKU14,7151,China,Oryctolagus cuniculus,,2006,unnamed protein product [Rabbit coronavirus HKU14]
