accession	label
NC_035191.1	0
NC_028752.1	0
NC_003045.1	0
NC_032730.1	0
NC_034972.1	0
NC_016994.1	0
NC_028833.1	0
NC_002306.3	0
NC_019843.3	1
NC_016992.1	0
NC_022103.1	0
NC_010800.1	0
NC_028824.1	0
NC_016996.1	0
NC_017083.1	0
NC_012936.1	0
NC_030292.1	0
NC_028814.1	0
NC_010438.1	0
NC_002645.1	1
NC_016991.1	0
NC_025217.1	0
NC_016995.1	0
NC_004718.3	1
NC_001846.1	0
NC_032107.1	0
AC_000192.1	0
NC_028806.1	0
NC_003436.1	0
MN908947.3	1
NC_018871.1	0
NC_005831.2	1
NC_026011.1	0
NC_028811.1	0
NC_023760.1	0
NC_010437.1	0
NC_006213.1	1
NC_006577.2	1
